surah	ayah	word_index	morpheme_index	qac_ref	surface_ar	lemma_ar	root_ar	root_norm	pos	morpheme_role	morph_features	aspect	mood	voice	measure	person	number	gender
98	5	9	1	98:5:9:1	حُنَفَآءَ	حَنِيف	ح ن ف	ح ن ف	N	STEM	STEM|POS:N|LEM:Haniyf|ROOT:Hnf|MP|ACC							
98	5	10	1	98:5:10:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	5	10	2	98:5:10:2	يُقِيمُ	أَقَامَ	ق و م	ق و م	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:>aqaAma|ROOT:qwm|3MP|MOOD:SUBJ	IMPF	SUBJ		IV			
98	5	10	3	98:5:10:3	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	5	11	1	98:5:11:1	ٱل				DET	PREFIX	PREFIX|Al+							
98	5	11	2	98:5:11:2	صَّلَوٰةَ	صَلَوٰة	ص ل و	ص ل و	N	STEM	STEM|POS:N|LEM:Salaw`p|ROOT:Slw|F|ACC							
98	5	12	1	98:5:12:1	وَ				CONJ	PREFIX	PREFIX|w:CONJ+							
98	5	12	2	98:5:12:2	يُؤْتُ	آتَى	ء ت ي	ء ت ي	V	STEM	STEM|POS:V|IMPF|(IV)|LEM:A^taY|ROOT:Aty|3MP|MOOD:SUBJ	IMPF	SUBJ		IV			
98	5	12	3	98:5:12:3	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	5	13	1	98:5:13:1	ٱل				DET	PREFIX	PREFIX|Al+							
98	5	13	2	98:5:13:2	زَّكَوٰةَ	زَكَوٰة	ز ك و	ز ك و	N	STEM	STEM|POS:N|LEM:zakaw`p|ROOT:zkw|F|ACC							
98	5	14	1	98:5:14:1	وَ				REM	PREFIX	PREFIX|w:REM+							
98	5	14	2	98:5:14:2	ذَٰلِكَ	ذَٰلِك			DEM	STEM	STEM|POS:DEM|LEM:*a`lik|MS							
98	5	15	1	98:5:15:1	دِينُ	دِين	د ي ن	د ي ن	N	STEM	STEM|POS:N|LEM:diyn|ROOT:dyn|M|NOM							
98	5	16	1	98:5:16:1	ٱلْ				DET	PREFIX	PREFIX|Al+							
98	5	16	2	98:5:16:2	قَيِّمَةِ	قَيِّمَة	ق و م	ق و م	N	STEM	STEM|POS:N|LEM:qay~imap|ROOT:qwm|F|GEN							
98	6	1	1	98:6:1:1	إِنَّ	إِنّ			ACC	STEM	STEM|POS:ACC|LEM:<in~|SP:<in~							
98	6	2	1	98:6:2:1	ٱلَّذِينَ	ٱلَّذِى			REL	STEM	STEM|POS:REL|LEM:{l~a*iY|MP							
98	6	3	1	98:6:3:1	كَفَرُ	كَفَرَ	ك ف ر	ك ف ر	V	STEM	STEM|POS:V|PERF|LEM:kafara|ROOT:kfr|3MP	PERF						
98	6	3	2	98:6:3:2	وا۟				PRON	SUFFIX	SUFFIX|PRON:3MP							
98	6	4	1	98:6:4:1	مِنْ	مِن			P	STEM	STEM|POS:P|LEM:min							
98	6	5	1	98:6:5:1	أَهْلِ	أَهْل	ء ه ل	ء ه ل	N	STEM	STEM|POS:N|LEM:>ahol|ROOT:Ahl|M|GEN							
