left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P0230	P0286	0.602434	0.519779	0.53708	0.805558	1.0	0.7	0.666667	mutual_knn
P1726	P2133	0.602288	0.505952	0.554009	0.807065	1.0	0.8	0.75	mutual_knn
P0090	P0658	0.602254	0.577237	0.610993	0.619827	0.666667	0.777778	0.75	mutual_knn
P0287	P0493	0.602155	0.552031	0.580596	0.72755	0.777778	0.777778	0.75	mutual_knn
P1690	P2298	0.602117	0.539864	0.578878	0.565706	1.0	0.8	0.75	mutual_knn
P0084	P0484	0.602092	0.553413	0.582889	0.712672	0.777778	0.777778	0.75	mutual_knn
P0398	P0592	0.60208	0.57719	0.595266	0.562242	0.777778	0.777778	0.75	mutual_knn
P1099	P1311	0.601984	0.50711	0.53753	0.856486	1.0	0.8	0.75	mutual_knn
P1617	P2272	0.601984	0.50677	0.589116	0.820323	0.857143	0.8	0.75	mutual_knn
P0093	P0542	0.601969	0.553889	0.571753	0.526055	1.0	0.777778	0.75	mutual_knn
P1103	P1697	0.601739	0.511295	0.553304	0.779998	1.0	0.8	0.75	mutual_knn
P0238	P0417	0.601547	0.523274	0.604981	0.765524	0.777778	0.777778	0.75	mutual_knn
P0095	P0632	0.601538	0.521194	0.541668	0.899167	0.875	0.777778	0.75	mutual_knn
P0107	P0551	0.601464	0.537165	0.564877	0.71124	0.909091	0.777778	0.75	mutual_knn
P0235	P0399	0.601464	0.513499	0.539718	0.81488	1.0	0.7	0.666667	mutual_knn
P0248	P0664	0.601454	0.527531	0.572483	0.748078	0.888889	0.777778	0.75	mutual_knn
P1098	P2039	0.601378	0.527882	0.564672	0.804816	0.857143	0.8	0.75	mutual_knn
P1183	P1818	0.60137	0.503137	0.554969	0.807192	1.0	0.8	0.75	mutual_knn
P0031	P0479	0.601368	0.556831	0.564678	0.71338	0.818182	0.777778	0.75	mutual_knn
P0273	P1108	0.601209	0.565627	0.620431	0.580977	0.714286	1.0	1.0	mutual_knn
P0783	P1197	0.601199	0.497054	0.602221	0.834141	0.833333	0.8	0.75	mutual_knn
P1106	P2065	0.601137	0.495884	0.556852	0.830908	1.0	0.8	0.75	mutual_knn
