left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C027	C132	0.363412	0.26762	0.265592	0.511108	0.988132	0.447201	0.458036	mutual_knn
C230	C542	0.363384	0.250221	0.334011	0.395851	0.984856	0.55677	0.482832	mutual_knn
C167	C351	0.363368	0.342136	0.279847	0.304959	0.778499	0.452619	0.51354	mutual_knn
C354	C538	0.362754	0.296038	0.249239	0.431555	0.968079	0.418241	0.493275	mutual_knn
C118	C140	0.362641	0.339616	0.276143	0.19366	0.906244	0.464132	0.532164	mutual_knn
C143	C624	0.362613	0.302747	0.300933	0.302221	0.907376	0.464881	0.506009	mutual_knn
C599	C632	0.362593	0.328503	0.269986	0.241585	0.931872	0.438686	0.643712	mutual_knn
C148	C538	0.362592	0.306169	0.300705	0.302045	0.890916	0.483574	0.538774	mutual_knn
C449	C508	0.362538	0.252795	0.316789	0.49503	0.916006	0.484864	0.41368	mutual_knn
C173	C376	0.362494	0.306562	0.307007	0.268845	0.902266	0.488589	0.505453	mutual_knn
C105	C449	0.362458	0.29316	0.256934	0.404263	0.98372	0.409536	0.514686	mutual_knn
C108	C410	0.362386	0.339512	0.257869	0.260694	0.891991	0.47427	0.573205	mutual_knn
C464	C497	0.362354	0.326969	0.292265	0.335547	0.776356	0.452784	0.573129	mutual_knn
C152	C341	0.362126	0.321741	0.295065	0.212381	0.914976	0.525955	0.498515	mutual_knn
C258	C564	0.362126	0.297836	0.271996	0.398162	0.917934	0.445469	0.465558	mutual_knn
C467	C632	0.362008	0.328331	0.254962	0.331087	0.882448	0.428624	0.570405	mutual_knn
C042	C124	0.361984	0.278484	0.301342	0.358558	0.964836	0.465297	0.444788	mutual_knn
C569	C639	0.361945	0.325424	0.285669	0.341601	0.793725	0.519801	0.582004	mutual_knn
C110	C492	0.361847	0.310101	0.26352	0.301069	0.976335	0.435838	0.561077	mutual_knn
C185	C319	0.361632	0.307953	0.315701	0.215153	0.914303	0.514261	0.513834	mutual_knn
C055	C137	0.361588	0.30655	0.275349	0.28382	0.973264	0.447739	0.537181	mutual_knn
C396	C538	0.361482	0.324618	0.245739	0.317275	0.93724	0.40848	0.493275	mutual_knn
C002	C029	0.361443	0.35151	0.212056	0.250943	0.969765	0.416419	0.645406	mutual_knn
C321	C526	0.361428	0.258287	0.281532	0.512524	0.965727	0.454643	0.430857	mutual_knn
C396	C530	0.361388	0.281857	0.259421	0.489417	0.936916	0.418416	0.458383	mutual_knn
C375	C536	0.361239	0.308244	0.229501	0.453374	0.929293	0.382454	0.484784	mutual_knn
C077	C544	0.361229	0.264134	0.307985	0.412366	0.955297	0.479283	0.529445	mutual_knn
C231	C357	0.360889	0.333288	0.266284	0.195149	0.948451	0.422693	0.5128	mutual_knn
C342	C534	0.360888	0.271205	0.280187	0.468448	0.943842	0.444741	0.514773	mutual_knn
C168	C219	0.360496	0.27148	0.29742	0.402518	0.952786	0.467593	0.435215	mutual_knn
C325	C482	0.360442	0.31235	0.308584	0.275039	0.841879	0.473932	0.521131	mutual_knn
C275	C401	0.360292	0.311873	0.260691	0.285073	0.976408	0.426383	0.52107	mutual_knn
C231	C432	0.360036	0.256045	0.307371	0.438846	0.95918	0.481252	0.432013	mutual_knn
C568	C608	0.36003	0.300121	0.305229	0.226298	0.957709	0.468597	0.467584	mutual_knn
C053	C152	0.35986	0.309059	0.271236	0.300683	0.938906	0.457436	0.524293	mutual_knn
C081	C131	0.359704	0.302288	0.231099	0.457708	0.934598	0.385865	0.530134	mutual_knn
C039	C460	0.359545	0.301438	0.267076	0.373936	0.913097	0.429153	0.607924	mutual_knn
C252	C454	0.359472	0.33097	0.252777	0.23808	0.943456	0.447056	0.586457	mutual_knn
C166	C305	0.359362	0.253291	0.303505	0.451022	0.965629	0.483083	0.411089	mutual_knn
C478	C554	0.359219	0.251811	0.339389	0.355574	0.959396	0.594346	0.508423	mutual_knn
C275	C393	0.359192	0.294259	0.271603	0.334567	0.971248	0.436785	0.495894	mutual_knn
C170	C190	0.358867	0.250749	0.306321	0.433849	0.982109	0.473503	0.417512	mutual_knn
C580	C581	0.358713	0.292663	0.277705	0.346611	0.944089	0.463756	0.491431	mutual_knn
C014	C089	0.358711	0.249861	0.263029	0.587885	0.960839	0.431766	0.419847	mutual_knn
C127	C370	0.358672	0.284165	0.289726	0.357809	0.93891	0.46024	0.469795	mutual_knn
C192	C209	0.358298	0.320454	0.313381	0.416379	0.624188	0.531572	0.550551	mutual_knn
C569	C601	0.358127	0.309714	0.307815	0.245656	0.863601	0.519801	0.582004	mutual_knn
C522	C639	0.357718	0.316267	0.307064	0.29446	0.780189	0.469942	0.52465	mutual_knn
C418	C503	0.35756	0.296286	0.268634	0.333067	0.955195	0.456277	0.459089	mutual_knn
