left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C020	C036	0.31462	0.212469	0.286371	0.25479	0.969954	0.481243	0.431818	mutual_knn
C179	C215	0.314516	0.203779	0.217144	0.490711	0.984127	0.375729	0.359686	mutual_knn
C212	C495	0.314477	0.215301	0.240822	0.381741	0.964054	0.392526	0.378671	mutual_knn
C463	C491	0.314274	0.22822	0.257233	0.288692	0.94125	0.47574	0.524506	mutual_knn
C530	C546	0.314202	0.223571	0.225629	0.372994	0.974287	0.373634	0.393952	mutual_knn
C270	C557	0.3142	0.211818	0.280673	0.288222	0.952671	0.48146	0.423245	mutual_knn
C102	C561	0.314017	0.21155	0.204829	0.479683	0.988251	0.351221	0.350385	mutual_knn
C208	C587	0.314007	0.238053	0.254055	0.346677	0.840963	0.429269	0.613888	mutual_knn
C225	C239	0.313925	0.283585	0.213422	0.1641	0.916963	0.414068	0.465593	mutual_knn
C175	C349	0.313907	0.209663	0.269765	0.31898	0.962481	0.433553	0.42224	mutual_knn
C510	C590	0.313716	0.242883	0.274206	0.18187	0.918262	0.4805	0.430621	mutual_knn
C054	C175	0.313688	0.212289	0.278286	0.284295	0.956283	0.46449	0.375414	mutual_knn
C467	C546	0.313635	0.252769	0.245954	0.298108	0.836536	0.401377	0.415625	mutual_knn
C311	C358	0.313421	0.257681	0.302452	0.171488	0.766965	0.478515	0.474858	mutual_knn
C191	C551	0.313297	0.236312	0.249452	0.242004	0.961055	0.427636	0.398236	mutual_knn
C496	C593	0.313166	0.242609	0.244744	0.226072	0.958315	0.404083	0.41439	mutual_knn
C254	C290	0.312919	0.214232	0.20991	0.501185	0.927111	0.356228	0.509241	mutual_knn
C611	C640	0.312893	0.227486	0.229698	0.353272	0.949133	0.405724	0.399291	mutual_knn
C426	C441	0.312542	0.229671	0.251937	0.329141	0.892109	0.457711	0.596542	mutual_knn
C596	C655	0.312489	0.193843	0.252266	0.457398	0.941476	0.410362	0.334999	mutual_knn
C037	C124	0.312405	0.160115	0.292084	0.467379	0.979844	0.461082	0.282861	mutual_knn
C401	C505	0.312351	0.181399	0.251775	0.491479	0.969706	0.434835	0.385661	mutual_knn
C469	C557	0.31234	0.174554	0.263585	0.481318	0.978554	0.465147	0.347114	mutual_knn
C183	C260	0.312187	0.17725	0.204767	0.632806	0.988518	0.356611	0.310785	mutual_knn
C028	C250	0.312132	0.254903	0.220416	0.329139	0.856423	0.438002	0.409207	mutual_knn
C179	C266	0.311928	0.179987	0.232396	0.522157	1.0	0.394661	0.329676	mutual_knn
C473	C595	0.311868	0.180602	0.231095	0.577242	0.945146	0.388674	0.341958	mutual_knn
C112	C158	0.311508	0.219805	0.225764	0.359382	0.979381	0.383189	0.418533	mutual_knn
C424	C528	0.311496	0.214215	0.279357	0.279881	0.925935	0.438441	0.372765	mutual_knn
C382	C593	0.311346	0.235496	0.207673	0.319683	0.993274	0.359223	0.434416	mutual_knn
C180	C294	0.311341	0.240979	0.237131	0.254076	0.943047	0.398995	0.573955	mutual_knn
C144	C171	0.311269	0.218187	0.240785	0.380673	0.918729	0.396446	0.390991	mutual_knn
C107	C291	0.311133	0.234712	0.246685	0.301634	0.896081	0.410413	0.483039	mutual_knn
C405	C573	0.310808	0.227591	0.238883	0.313001	0.940476	0.388196	0.372837	mutual_knn
C097	C225	0.310779	0.278784	0.21128	0.131589	0.948436	0.406082	0.452792	mutual_knn
C407	C653	0.310537	0.233284	0.237572	0.29129	0.934947	0.384851	0.460781	mutual_knn
C017	C364	0.310499	0.201114	0.323408	0.228314	0.900885	0.554957	0.375787	mutual_knn
C062	C107	0.310334	0.199742	0.256518	0.354631	0.980444	0.473447	0.387171	mutual_knn
C095	C646	0.31031	0.234659	0.273428	0.177097	0.932421	0.432466	0.403706	mutual_knn
C166	C399	0.310255	0.19254	0.249766	0.430192	0.960355	0.418616	0.351801	mutual_knn
C360	C625	0.310228	0.195282	0.256111	0.39789	0.959645	0.408572	0.368158	mutual_knn
C584	C613	0.310214	0.203833	0.278906	0.296399	0.949854	0.467332	0.348303	mutual_knn
C100	C241	0.309873	0.213976	0.243118	0.356557	0.94294	0.435975	0.356846	mutual_knn
C240	C562	0.30979	0.178496	0.322873	0.298041	0.938757	0.534407	0.350505	mutual_knn
C288	C459	0.309463	0.241442	0.279885	0.181635	0.866131	0.509994	0.421375	mutual_knn
C460	C584	0.309209	0.238483	0.222444	0.255812	0.976531	0.378386	0.402155	mutual_knn
C556	C600	0.309169	0.226104	0.266253	0.21412	0.948293	0.442392	0.411823	mutual_knn
C237	C255	0.308925	0.215739	0.224809	0.408302	0.927829	0.376716	0.386305	mutual_knn
C439	C464	0.308884	0.290926	0.23448	0.235116	0.695653	0.381666	0.55643	mutual_knn
C177	C445	0.308847	0.252659	0.187744	0.304152	0.95779	0.356273	0.611723	mutual_knn
C284	C588	0.308726	0.214894	0.253233	0.267015	0.986081	0.42215	0.454012	mutual_knn
C036	C242	0.308631	0.24405	0.203926	0.308755	0.94553	0.346754	0.413928	mutual_knn
C266	C654	0.308558	0.20482	0.23002	0.391099	0.980325	0.37412	0.485796	mutual_knn
C299	C364	0.308326	0.22555	0.269879	0.293709	0.852168	0.430184	0.384649	mutual_knn
C011	C520	0.308311	0.216761	0.22467	0.38097	0.944323	0.446232	0.458453	mutual_knn
C388	C412	0.307804	0.204016	0.23169	0.393939	0.968951	0.438745	0.389195	mutual_knn
C071	C597	0.307745	0.19109	0.237211	0.454519	0.955851	0.393651	0.365169	mutual_knn
C209	C529	0.307619	0.237622	0.24164	0.289835	0.873326	0.423301	0.477586	mutual_knn
C150	C270	0.307574	0.181677	0.224041	0.511104	0.984127	0.414236	0.320203	mutual_knn
C130	C241	0.307458	0.199803	0.235098	0.387892	0.982381	0.410842	0.356846	mutual_knn
C221	C541	0.307367	0.250382	0.259548	0.102991	0.940127	0.432775	0.48144	mutual_knn
C165	C498	0.307313	0.243136	0.214527	0.275978	0.937889	0.36071	0.466128	mutual_knn
C054	C241	0.307299	0.206838	0.234419	0.353165	0.982381	0.408774	0.356846	mutual_knn
C150	C179	0.307102	0.182758	0.238109	0.452756	0.990148	0.39965	0.351341	mutual_knn
C284	C446	0.306861	0.189446	0.231864	0.468495	0.957296	0.415053	0.364881	mutual_knn
C307	C399	0.306679	0.18405	0.243015	0.454931	0.962567	0.39999	0.351801	mutual_knn
C414	C624	0.306668	0.239994	0.223954	0.354881	0.839964	0.401035	0.437105	mutual_knn
C044	C425	0.30648	0.191879	0.318637	0.198901	0.950595	0.556148	0.34086	mutual_knn
C202	C551	0.306429	0.230645	0.242979	0.285043	0.897085	0.411177	0.405651	mutual_knn
C197	C384	0.306007	0.183897	0.249284	0.438143	0.954594	0.399249	0.321897	mutual_knn
C040	C298	0.305999	0.213828	0.219554	0.344028	0.988165	0.426156	0.458644	mutual_knn
C133	C283	0.305977	0.224843	0.269407	0.25525	0.872082	0.425726	0.422282	mutual_knn
C418	C582	0.30597	0.209984	0.260704	0.287186	0.94048	0.444172	0.404522	mutual_knn
C018	C422	0.305919	0.209724	0.211448	0.400244	0.975978	0.386741	0.354431	mutual_knn
C037	C042	0.305884	0.156221	0.282503	0.451002	0.979229	0.451437	0.2712	mutual_knn
C398	C485	0.305753	0.237118	0.193039	0.346568	0.94626	0.355815	0.416265	mutual_knn
C169	C410	0.305415	0.219081	0.250247	0.330687	0.877319	0.422975	0.394419	mutual_knn
C337	C562	0.305259	0.247338	0.240018	0.161935	0.933915	0.41709	0.487098	mutual_knn
C654	C669	0.305221	0.251865	0.238083	0.250771	0.827867	0.394362	0.478055	mutual_knn
C144	C673	0.304833	0.187592	0.280015	0.410599	0.859727	0.450644	0.399306	mutual_knn
C135	C283	0.304811	0.244198	0.233176	0.2151	0.912495	0.410539	0.459164	mutual_knn
C161	C267	0.304811	0.188702	0.241147	0.396726	0.984434	0.41128	0.320405	mutual_knn
C258	C321	0.304378	0.186227	0.317795	0.21929	0.939971	0.490309	0.329658	mutual_knn
C133	C237	0.30434	0.255034	0.247368	0.165296	0.860828	0.418497	0.410062	mutual_knn
C159	C442	0.304247	0.225916	0.257403	0.256436	0.884249	0.458748	0.404159	mutual_knn
C492	C513	0.304156	0.242504	0.243728	0.191264	0.906597	0.398799	0.40326	mutual_knn
C514	C546	0.304003	0.255616	0.214391	0.236854	0.881917	0.377114	0.547633	mutual_knn
C343	C610	0.303968	0.197855	0.214347	0.439466	0.9679	0.36476	0.414651	mutual_knn
C333	C644	0.303928	0.207965	0.297234	0.260958	0.846802	0.521042	0.354286	mutual_knn
C240	C522	0.303859	0.205793	0.250184	0.310686	0.948382	0.401329	0.410561	mutual_knn
C210	C254	0.303809	0.216132	0.18477	0.483862	0.919259	0.315151	0.356947	mutual_knn
C634	C645	0.303628	0.218435	0.236743	0.321454	0.912421	0.395378	0.374976	mutual_knn
C200	C554	0.303594	0.217895	0.20213	0.36681	0.973266	0.376474	0.368285	mutual_knn
C058	C449	0.303558	0.203392	0.243462	0.346315	0.941923	0.393838	0.346417	mutual_knn
C112	C180	0.30352	0.214356	0.249433	0.271247	0.94387	0.435103	0.442929	mutual_knn
C110	C121	0.303412	0.214673	0.241436	0.293048	0.943399	0.403299	0.384986	mutual_knn
C047	C347	0.303352	0.172743	0.229255	0.525874	0.956165	0.385682	0.303825	mutual_knn
C037	C198	0.303345	0.193465	0.260796	0.315218	0.968516	0.451554	0.402969	mutual_knn
C521	C600	0.302995	0.224778	0.263404	0.197076	0.918775	0.423211	0.396714	mutual_knn
C438	C503	0.302976	0.209748	0.280674	0.24393	0.895073	0.448554	0.37755	mutual_knn
C069	C657	0.302475	0.190368	0.29669	0.307703	0.87514	0.501786	0.38934	mutual_knn
C552	C605	0.302339	0.199942	0.206395	0.4819	0.922592	0.357996	0.380971	mutual_knn
C531	C648	0.302231	0.184966	0.205097	0.536672	0.945514	0.402337	0.379205	mutual_knn
C444	C503	0.30216	0.26459	0.231465	0.206423	0.79783	0.397599	0.462783	mutual_knn
C101	C339	0.302083	0.205041	0.252867	0.319877	0.917152	0.483729	0.455049	mutual_knn
C059	C561	0.301988	0.185561	0.210583	0.472568	0.987763	0.350909	0.348723	mutual_knn
C058	C183	0.301983	0.177632	0.207666	0.558768	0.949905	0.360065	0.319501	mutual_knn
C208	C308	0.301981	0.263546	0.275782	0.114122	0.760615	0.444411	0.451064	mutual_knn
C388	C659	0.301905	0.208536	0.200626	0.401693	0.972796	0.362619	0.42547	mutual_knn
C559	C613	0.30187	0.180011	0.279061	0.393333	0.888125	0.467637	0.34526	mutual_knn
C097	C104	0.301802	0.257422	0.220778	0.130592	0.937986	0.406082	0.452792	mutual_knn
C452	C598	0.301725	0.246048	0.266742	0.265957	0.720827	0.429795	0.412646	mutual_knn
C609	C662	0.301719	0.212728	0.245911	0.288613	0.927201	0.422876	0.35715	mutual_knn
C140	C321	0.301593	0.188149	0.222296	0.462073	0.946218	0.367338	0.336462	mutual_knn
C031	C574	0.301507	0.248332	0.230379	0.170251	0.912024	0.393245	0.433625	mutual_knn
C499	C601	0.3015	0.186016	0.295181	0.360006	0.839372	0.469246	0.354405	mutual_knn
C216	C230	0.301292	0.185588	0.242839	0.362903	0.993559	0.39353	0.334834	mutual_knn
C245	C563	0.301265	0.233657	0.241228	0.188671	0.932007	0.389042	0.443143	mutual_knn
C052	C062	0.301217	0.173619	0.209195	0.569801	0.946694	0.372191	0.316884	mutual_knn
C048	C163	0.301089	0.217124	0.203523	0.336949	0.977754	0.346216	0.365758	mutual_knn
C149	C260	0.300925	0.200442	0.247552	0.324961	0.939418	0.402578	0.342579	mutual_knn
C342	C393	0.300761	0.190918	0.195338	0.485778	0.981223	0.335863	0.328611	mutual_knn
C102	C117	0.300745	0.226275	0.257167	0.176664	0.927914	0.42353	0.369097	mutual_knn
C121	C125	0.300699	0.214387	0.218063	0.3127	0.968164	0.387523	0.419716	mutual_knn
C387	C398	0.300582	0.246658	0.217515	0.20057	0.919414	0.384964	0.514432	mutual_knn
C290	C603	0.300479	0.186666	0.200072	0.502907	0.968336	0.348745	0.385322	mutual_knn
C348	C658	0.300468	0.223908	0.234509	0.209496	0.972111	0.402928	0.483815	mutual_knn
C456	C568	0.300436	0.187082	0.180523	0.545447	0.981938	0.312518	0.352487	mutual_knn
C428	C436	0.30022	0.219784	0.272201	0.168521	0.918156	0.472792	0.489134	mutual_knn
C372	C653	0.300215	0.200828	0.266046	0.248519	0.951351	0.430862	0.372795	mutual_knn
C412	C659	0.300172	0.214891	0.205547	0.320876	0.989749	0.36466	0.376795	mutual_knn
C099	C572	0.300143	0.222209	0.257697	0.251268	0.866025	0.410545	0.460598	mutual_knn
